Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
54efd88e-0609-4340-943a-97b17409514a,,CIEL:83531,Rotavirus Vaccine,Rotavirus vaccine,,Vaccin rotavirus,Vaccin rotavirus,Misc,Text,,,,,,,,,,,
df3342bd-5ed8-4e21-b82e-9f1848c32da0,,CIEL:17,Diptheria Tetanus Booster,dT,,Rappel diphterique tetanique,dT,Misc,Text,,,,,,,,,,,
232aa593-1600-4282-96f1-37ddedb4f675,,CIEL:162586,Measles-Rubella Vaccine,Measles-Rubella vaccine,,Rubeole-rougeole vaccine,Rubeole-rougeole vaccine,Misc,Text,,,,,,,,,,,
58a04b53-7c90-4a77-b82f-9f3fc1cf7300,,CIEL:1685,Pentavalent Vaccine,Pentavalent Vaccine,,Pentavalent vaccine,Pentavalent vaccine,Misc,Text,,,,,,,,,,,
ac04ff06-3b1f-4c63-94e6-b994f7519326,,CIEL:783,Oral Polio Vaccine,Oral Polio vaccine,,Oral polio vaccine,Oral polio vaccine,Misc,Text,,,,,,,,,,,
f966615e-7117-4c3a-abcc-4607e7abae7e,,CIEL:82215,Pneumococcal Vaccine,Pneumococcal Vaccine,,Vaccin pneumocoque,Vaccin pneumocoque,Misc,Text,,,,,,,,,,,
00315322-9c26-4b25-91b0-5179c691d4b5,,CIEL:886,BCG Vaccine,BCG Vaccine,,BCG vaccine,BCG vaccine,Misc,Text,,,,,,,,,,,
8e647d0f-3578-45be-a73f-7580a49a7e59,,CIEL:159701,MMR Vaccine,MMR Vaccine,,MMR vaccine,MMR vaccine,Misc,Text,,,,,,,,,,,
0a8704a1-eb12-446c-99d2-90808e8ca12d,,CIEL:73193,Chickenpox vaccine,VZV Vaccine,,Vaccin contre la varicelle,VZV vaccine,Misc,Text,,,,,,,,,,,
15b7fdfc-2396-4717-8f1d-8de0e819a494,,CIEL:77423,Hepatitis A Vaccine,HepA Vaccine,,Hepatitis A vaccine,HepA vaccine,Misc,Text,,,,,,,,,,,
701e4696-8ef6-4a93-9406-1211e4c35ab1,,CIEL:104530,Tdap,Tdap,,Tdap,Tdap,Misc,Text,,,,,,,,,,,
dd07efeb-47f1-4b72-9584-0152837b1b3b,,CIEL:159709,HPV2 Vaccine,HPV2 Vaccine,,HPV2 vaccine,HPV2 vaccine,Misc,Text,,,,,,,,,,,
43c8df3c-6c4c-4921-ba7c-a7d0f9dba4db,,CIEL:159900,Meningococcal Vaccine,Meningococcal Vaccine,,Meningococcal vaccine,Meningococcal vaccine,Misc,Text,,,,,,,,,,,
a415ac86-04d5-4e7b-a19b-c4abd431d930,,CIEL:77428,Hepatitis B Vaccine,HepB Vaccine,,Hepatitis B vaccine,HepB vaccine,Misc,Text,,,,,,,,,,,
018bc554-4d36-4887-a387-fb1b8bb20216,,CIEL:78032,Influenza Virus Vaccine,Influenza Virus Vaccine,,Influenza virus vaccine,Influenza virus vaccine,Misc,Text,,,,,,,,,,,
3c25e650-ccfa-48da-b276-a7872796b113,,CIEL:1421,Vaccination History,Vaccination History,Vaccination History,Historique vaccinale,Historique vaccinale,Misc,N/A,,,Rotavirus Vaccine; Diptheria Tetanus Booster; Measles-Rubella Vaccine; Pentavalent Vaccine; Oral Polio Vaccine; Pneumococcal Vaccine; BCG Vaccine; MMR Vaccine; Chickenpox vaccine; Hepatitis A Vaccine; Tdap; HPV2 Vaccine; Meningococcal Vaccine; Hepatitis B Vaccine; Influenza Virus Vaccine,,,,,,,,
